.,areaID,site,Location,State
aub,372,auburn,auburn,Alabama
bhm,127,bham,birmingham,Alabama
dhn,467,dothan,dothan,Alabama
msl,560,shoals,florence / muscle shoals,Alabama
anb,559,gadsden,gadsden-anniston,Alabama
hsv,231,huntsville,huntsville / decatur,Alabama
mob,200,mobile,mobile,Alabama
mgm,207,montgomery,montgomery,Alabama
tsc,371,tuscaloosa,tuscaloosa,Alabama
anc,51,anchorage,anchorage / mat-su,Alaska
fai,677,fairbanks,fairbanks,Alaska
ena,678,kenai,kenai peninsula,Alaska
jnu,676,juneau,southeast alaska,Alaska
flg,244,flagstaff,flagstaff / sedona,Arizona
mhv,565,mohave,mohave county,Arizona
phx,18,phoenix,phoenix,Arizona
prc,419,prescott,prescott,Arizona
sow,651,showlow,show low,Arizona
fhu,468,sierravista,sierra vista,Arizona
tus,57,tucson,tucson,Arizona
yum,370,yuma,yuma,Arizona
fyv,293,fayar,fayetteville,Arkansas
fsm,358,fortsmith,fort smith,Arkansas
jbr,425,jonesboro,jonesboro,Arkansas
lit,100,littlerock,little rock,Arkansas
txk,359,texarkana,texarkana,Arkansas
bak,63,bakersfield,bakersfield,California
chc,187,chico,chico,California
fre,43,fresno,fresno / madera,California
gld,373,goldcountry,gold country,California
hnf,709,hanford,hanford-corcoran,California
hmb,189,humboldt,humboldt county,California
imp,455,imperial,imperial county,California
inl,104,inlandempire,inland empire,California
lax,7,losangeles,los angeles,California
mdo,454,mendocino,mendocino county,California
mer,285,merced,merced,California
mod,96,modesto,modesto,California
mtb,102,monterey,monterey bay,California
orc,103,orangecounty,orange county,California
psp,209,palmsprings,palm springs,California
rdd,188,redding,redding,California
sac,12,sacramento,sacramento,California
sdo,8,sandiego,san diego,California
slo,191,slo,san luis obispo,California
sba,62,santabarbara,santa barbara,California
smx,710,santamaria,santa maria,California
sfo,1,sfbay,san francisco bay area,California
ssk,708,siskiyou,siskiyou county,California
stk,97,stockton,stockton,California
ssn,707,susanville,susanville,California
oxr,208,ventura,ventura county,California
vis,346,visalia,visalia-tulare,California
ybs,456,yubasutter,yuba-sutter,California
bou,319,boulder,boulder,Colorado
cos,210,cosprings,colorado springs,Colorado
den,13,denver,denver,Colorado
eco,713,eastco,eastern CO,Colorado
ftc,287,fortcollins,fort collins / north CO,Colorado
rck,288,rockies,high rockies,Colorado
pub,315,pueblo,pueblo,Colorado
gjt,320,westslope,western slope,Colorado
nlo,281,newlondon,eastern CT,Connecticut
htf,44,hartford,hartford,Connecticut
hvn,168,newhaven,new haven,Connecticut
nct,354,nwct,northwest CT,Connecticut
dlw,193,delaware,delaware,Delaware
wdc,10,washingtondc,washington,District of Columbia
dab,238,daytona,daytona beach,Florida
key,330,keys,florida keys,Florida
mia,20,fortlauderdale,fort lauderdale,Florida
fmy,125,fortmyers,ft myers / SW florida,Florida
gnv,219,gainesville,gainesville,Florida
cfl,639,cfl,heartland florida,Florida
jax,80,jacksonville,jacksonville,Florida
lal,376,lakeland,lakeland,Florida
lcq,638,lakecity,north central FL,Florida
oca,333,ocala,ocala,Florida
yps,640,okaloosa,okaloosa / walton,Florida
orl,39,orlando,orlando,Florida
pfn,562,panamacity,panama city,Florida
pns,203,pensacola,pensacola,Florida
srq,237,sarasota,sarasota-bradenton,Florida
mia,20,miami,south florida,Florida
mlb,331,spacecoast,space coast,Florida
ust,557,staugustine,st augustine,Florida
tal,186,tallahassee,tallahassee,Florida
tpa,37,tampa,tampa bay area,Florida
psl,332,treasure,treasure coast,Florida
aby,637,albanyga,albany,Georgia
ahn,258,athensga,athens,Georgia
atl,14,atlanta,atlanta,Georgia
aug,256,augusta,augusta,Georgia
bwk,570,brunswick,brunswick,Georgia
csg,343,columbusga,columbus,Georgia
mcn,257,macon,macon / warner robins,Georgia
nwg,636,nwga,northwest GA,Georgia
sav,205,savannah,savannah / hinesville,Georgia
tbr,635,statesboro,statesboro,Georgia
vld,427,valdosta,valdosta,Georgia
hnl,28,honolulu,hawaii,Hawaii
boi,52,boise,boise,Idaho
eid,424,eastidaho,east idaho,Idaho
lws,654,lewiston,lewiston / clarkston,Idaho
twf,469,twinfalls,twin falls,Idaho
bln,344,bn,bloomington-normal,Illinois
chm,190,chambana,champaign urbana,Illinois
chi,11,chicago,chicago,Illinois
dil,569,decatur,decatur,Illinois
lsl,698,lasalle,la salle co,Illinois
mto,699,mattoon,mattoon-charleston,Illinois
pia,224,peoria,peoria,Illinois
rfd,223,rockford,rockford,Illinois
cbd,345,carbondale,southern illinois,Illinois
spi,225,springfieldil,springfield,Illinois
qcy,697,quincy,western IL,Illinois
bmg,229,bloomington,bloomington,Indiana
ew,227,evansville,evansville,Indiana
fwa,226,fortwayne,fort wayne,Indiana
ind,45,indianapolis,indianapolis,Indiana
okk,672,kokomo,kokomo,Indiana
laf,360,tippecanoe,lafayette / west lafayette,Indiana
mun,361,muncie,muncie / anderson,Indiana
rin,671,richmondin,richmond,Indiana
sbn,228,southbend,south bend / michiana,Indiana
tha,348,terrehaute,terre haute,Indiana
